Player,Pos,3P,TRB,BLK
Victor Oladipo,SG,1.9,4.3,0.3
Anthony Davis,C,0.5,11.8,2.2
Willie Reed,C,0.0,4.7,0.7
Bismack Biyombo,C,0.0,7.0,1.1
Zach LaVine,SG,2.6,3.4,0.2
Ian Mahinmi,C,0.0,4.8,0.8
JaVale McGee,C,0.0,3.2,0.9
C.J. McCollum,SG,2.3,3.6,0.5
Garrett Temple,SG,1.3,2.8,0.4
Wayne Ellington,SG,2.4,2.1,0.1
Mason Plumlee,C,0.0,7.5,1.1
Tarik Black,C,0.0,5.1,0.7
Marcin Gortat,C,0.0,10.4,0.7
Devin Booker,SG,1.9,3.2,0.3
Iman Shumpert,SG,1.2,2.9,0.4
Tony Snell,SG,1.8,3.1,0.2
Marco Belinelli,SG,1.4,2.4,0.1
Nikola Vucevic,C,0.3,10.4,1.0
Joel Embiid,C,1.2,7.8,2.5
Roy Hibbert,C,0.0,3.2,1.0
Dwight Howard,C,0.0,12.7,1.2
Wesley Matthews,SG,2.4,3.5,0.2
Rudy Gobert,C,0.0,12.8,2.6
Nene Hilario,C,0.0,4.2,0.6
Salah Mejri,C,0.0,4.2,0.8
Al Horford,C,1.3,6.8,1.3
Nikola Jokic,C,0.6,9.8,0.8
Jordan Crawford,SG,1.9,1.8,0.1
Andrew Bogut,C,0.0,8.1,0.9
Will Barton,SG,1.5,4.3,0.5
Lou Williams,SG,2.0,2.5,0.2
Gary Harris,SG,1.9,3.1,0.1
Robin Lopez,C,0.0,6.4,1.4
Manu Ginobili,SG,1.3,2.3,0.2
Nik Stauskas,SG,1.7,2.8,0.4
Hassan Whiteside,C,0.0,14.1,2.1
Willie Cauley-Stein,C,0.0,4.5,0.6
Joe Harris,SG,1.6,2.8,0.2
Josh Richardson,SG,1.4,3.2,0.7
Sean Kilpatrick,SG,1.5,4.0,0.1
Dewayne Dedmon,C,0.0,6.5,0.8
John Henson,C,0.0,5.1,1.3
Allen Crabbe,SG,1.7,2.9,0.3
Jason Smith,C,0.5,3.5,0.7
Bradley Beal,SG,2.9,3.1,0.3
Pau Gasol,C,0.9,7.8,1.1
Alexis Ajinca,C,0.0,4.5,0.6
Kosta Koufos,C,0.0,5.7,0.7
Steven Adams,C,0.0,7.7,1.0
Marc Gasol,C,1.4,6.3,1.3
Chris Andersen,C,0.0,2.6,0.6
Jonas Valanciunas,C,0.0,9.5,0.8
Jamal Crawford,SG,1.4,1.6,0.2
Denzel Valentine,SG,1.3,2.6,0.1
Marcus Smart,SG,1.2,3.9,0.4
Rodney Hood,SG,1.9,3.4,0.2
A.J. Hammons,C,0.2,1.6,0.6
Nicolas Batum,SG,1.8,6.2,0.4
Austin Rivers,SG,1.5,2.2,0.1
Marreese Speights,C,1.3,4.5,0.5
Dwyane Wade,SG,0.8,4.5,0.7
Danny Green,SG,1.7,3.3,0.8
Richaun Holmes,C,0.5,5.5,1.0
Evan Fournier,SG,1.9,3.1,0.1
Jodie Meeks,SG,1.6,2.1,0.1
E'Twaun Moore,SG,1.1,2.1,0.4
Timofey Mozgov,C,0.0,4.9,0.6
Kyle Korver,SG,2.4,2.8,0.3
Jordan Clarkson,SG,1.4,3.0,0.1
J.R. Smith,SG,2.3,2.8,0.3
Justin Holiday,SG,1.2,2.7,0.4
Jamal Murray,SG,1.4,2.6,0.3
Myles Turner,C,0.5,7.3,2.1
Edy Tavares,C,0.0,5.5,3.0
Justin Hamilton,C,0.9,4.1,0.7
J.J. Redick,SG,2.6,2.2,0.2
Karl-Anthony Towns,C,1.2,12.3,1.3
Avery Bradley,SG,2.0,6.1,0.2
Patrick Beverley,SG,1.6,5.9,0.4
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
