시,읍면동,관광지 수
서귀포시,강정동,6
서귀포시,남원읍,58
서귀포시,대정읍,65
서귀포시,대포동,7
서귀포시,도순동,3
서귀포시,동홍동,8
서귀포시,법환동,5
서귀포시,보목동,6
서귀포시,상예동,2
서귀포시,상효동,12
서귀포시,색달동,17
서귀포시,서귀동,19
서귀포시,서호동,1
서귀포시,서홍동,18
서귀포시,성산읍,64
서귀포시,신효동,5
서귀포시,안덕면,73
서귀포시,영남동,1
서귀포시,월평동,2
서귀포시,중문동,13
서귀포시,토평동,5
서귀포시,표선면,52
서귀포시,하예동,8
서귀포시,하원동,5
서귀포시,하효동,3
서귀포시,호근동,6
서귀포시,회수동,2
제주시,건입동,8
제주시,구좌읍,93
제주시,내도동,2
제주시,노형동,9
제주시,도두이동,2
제주시,도두일동,8
제주시,봉개동,12
제주시,삼도이동,12
제주시,삼도일동,1
제주시,삼양삼동,1
제주시,삼양이동,2
제주시,삼양일동,6
제주시,아라이동,1
제주시,아라일동,16
제주시,애월읍,82
제주시,연동,14
제주시,영평동,2
제주시,오등동,2
제주시,오라이동,9
제주시,외도이동,1
제주시,용강동,3
제주시,용담삼동,5
제주시,용담이동,10
제주시,용담일동,3
제주시,우도면,22
제주시,월평동,3
제주시,이도이동,4
제주시,이도일동,4
제주시,이호이동,2
제주시,이호일동,4
제주시,일도이동,8
제주시,일도일동,5
제주시,조천읍,71
제주시,추자면,31
제주시,한경면,47
제주시,한림읍,64
제주시,해안동,3
제주시,화북이동,1
제주시,화북일동,2
제주시,회천동,3
