읍면동명,권역,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
건입동,제주시 동권역,10904,10887,10573,10436,10310,10209,10085,9857,9571,9325
구좌읍,제주시 동부권역,14810,14688,14569,14984,15175,15533,16045,16283,16232,16129
남원읍,서귀포시 동부권역,18304,18285,18323,18529,19095,19680,19791,19778,19707,19469
노형동,제주시 동권역,51184,51738,52133,53867,54715,55039,55021,56223,56611,57190
대륜동,서귀포시 동권역,9310,9344,9305,10449,11316,13422,13568,14156,14657,14963
대정읍,서귀포시 서부권역,16963,17198,17390,18028,19560,20935,22564,23094,23105,23451
대천동,서귀포시 동권역,6949,7179,7416,7489,8227,9124,13235,13930,14010,14110
도두동,제주시 동권역,2772,2802,2847,2882,2894,3022,3104,3257,3314,3367
동홍동,서귀포시 동권역,21191,21539,22082,23276,23850,24106,23954,24163,24389,24222
봉개동,제주시 동권역,3065,3085,3090,3092,3216,3537,3964,4936,5363,5372
삼도이동,제주시 동권역,9811,9641,9415,9250,9282,9136,8937,8662,8433,8275
삼도일동,제주시 동권역,14202,14530,14687,14856,14797,14956,14657,14345,14005,13719
삼양동,제주시 동권역,11077,11212,12335,15067,17369,21795,22981,25153,25965,26079
서홍동,서귀포시 동권역,8562,8896,9424,9627,10148,10666,10765,10697,10559,10746
성산읍,서귀포시 동부권역,14427,14364,14482,14649,15710,16339,16864,17180,17338,17072
송산동,서귀포시 동권역,5174,5160,5210,5130,5216,5032,5001,5027,4893,4658
아라동,제주시 동권역,14614,15852,20847,22642,24868,28127,31089,34321,36024,38137
안덕면,서귀포시 서부권역,9772,10007,10056,9970,10382,10765,11858,12537,12711,12523
애월읍,제주시 서부권역,29061,29448,29646,30153,31560,32897,35004,36550,37345,37898
연동,제주시 동권역,42124,43276,43599,44008,44449,44089,43428,43217,43708,43916
영천동,서귀포시 동권역,5012,5016,5046,5043,5124,5134,5350,5478,5485,5371
예래동,서귀포시 동권역,3579,3601,3670,3759,3850,3957,4073,4414,4247,4200
오라동,제주시 동권역,6557,6972,7929,8910,10098,11987,13715,14906,15588,15966
외도동,제주시 동권역,15724,16239,17047,17791,18859,19869,20964,21741,22108,22353
용담이동,제주시 동권역,17176,17243,17032,16954,16773,16453,16027,15673,15328,15014
용담일동,제주시 동권역,8792,8578,8525,8408,8411,8066,7927,7610,7315,7140
우도면,제주시 동부권역,1572,1617,1639,1667,1730,1813,1903,1892,1892,1766
이도이동,제주시 동권역,45510,48661,49930,51167,52001,51667,51037,50137,50655,50423
이도일동,제주시 동권역,7799,7899,7854,7999,8092,8024,8053,7989,7796,7808
이호동,제주시 동권역,4109,4068,4085,4055,4090,4116,4291,4654,4764,4746
일도이동,제주시 동권역,37691,37618,36884,36583,36684,36013,35516,34684,33998,33353
일도일동,제주시 동권역,3829,3867,3698,3576,3475,3346,3191,2993,2809,2664
정방동,서귀포시 동권역,2947,2900,2856,2779,2806,2710,2551,2444,2399,2315
조천읍,제주시 동부권역,21010,20763,20618,20782,21463,22444,23812,24718,25313,25905
중문동,서귀포시 동권역,9064,9094,9258,9440,9949,10457,10964,11482,11665,11877
중앙동,서귀포시 동권역,4513,4460,4515,4591,4438,4315,4113,3984,3798,3592
천지동,서귀포시 동권역,3896,3973,4040,4037,3974,3875,3669,3688,3656,3636
추자면,제주시 서부권역,2762,2674,2596,2471,2432,2308,2215,2149,2057,1963
표선면,서귀포시 동부권역,10932,10983,11121,11442,11765,12083,12650,12824,12722,12691
한경면,제주시 서부권역,8220,8247,8365,8543,8745,9000,9239,9447,9405,9422
한림읍,제주시 서부권역,19994,20509,21541,22450,22972,23851,24389,25003,25080,24609
화북동,제주시 동권역,23224,23299,23973,25732,26318,26028,25807,25391,25271,24819
효돈동,서귀포시 동권역,5096,5037,5019,4987,5167,5265,5401,5365,5366,5324
