지점명,일시,강수량(mm)
제주,2018-01,58.0
서귀포,2018-01,63.7
제주,2018-02,86.6
서귀포,2018-02,10.5
제주,2018-03,118.0
서귀포,2018-03,151.6
제주,2018-04,112.5
서귀포,2018-04,312.0
제주,2018-05,98.8
서귀포,2018-05,356.1
제주,2018-06,211.1
서귀포,2018-06,304.3
제주,2018-07,48.7
서귀포,2018-07,23.2
제주,2018-08,376.5
서귀포,2018-08,159.6
제주,2018-09,187.7
서귀포,2018-09,473.8
제주,2018-10,347.0
서귀포,2018-10,210.2
제주,2018-11,28.6
서귀포,2018-11,55.6
제주,2018-12,96.0
서귀포,2018-12,45.6
제주,2019-01,24.2
서귀포,2019-01,21.7
제주,2019-02,37.9
서귀포,2019-02,37.7
제주,2019-03,55.5
서귀포,2019-03,64.8
제주,2019-04,46.4
서귀포,2019-04,89.2
제주,2019-05,42.8
서귀포,2019-05,376.7
제주,2019-06,145.8
서귀포,2019-06,189.1
제주,2019-07,510.1
서귀포,2019-07,452.1
제주,2019-08,242.3
서귀포,2019-08,317.3
제주,2019-09,610.6
서귀포,2019-09,394.9
제주,2019-10,188.6
서귀포,2019-10,150.6
제주,2019-11,27.5
서귀포,2019-11,31.3
제주,2019-12,48.2
서귀포,2019-12,84.9
제주,2020-01,116.7
서귀포,2020-01,110.1
제주,2020-02,29.8
서귀포,2020-02,95.5
제주,2020-03,81.6
서귀포,2020-03,132.2
제주,2020-04,82.3
서귀포,2020-04,81.8
제주,2020-05,20.6
서귀포,2020-05,244.0
제주,2020-06,221.5
서귀포,2020-06,406.1
제주,2020-07,184.7
서귀포,2020-07,322.0
제주,2020-08,140.4
서귀포,2020-08,159.2
제주,2020-09,400.5
서귀포,2020-09,424.9
제주,2020-10,53.7
서귀포,2020-10,39.2
제주,2020-11,28.2
서귀포,2020-11,11.7
제주,2020-12,29.5
서귀포,2020-12,62.9
제주,2021-01,116.6
서귀포,2021-01,54.6
제주,2021-02,52.8
서귀포,2021-02,51.2
제주,2021-03,81.1
서귀포,2021-03,156.3
제주,2021-04,58.8
서귀포,2021-04,182.0
제주,2021-05,100.7
서귀포,2021-05,159.2
제주,2021-06,122.4
서귀포,2021-06,200.8
제주,2021-07,247.1
서귀포,2021-07,218.4
제주,2021-08,227.8
서귀포,2021-08,318.4
제주,2021-09,493.1
서귀포,2021-09,692.4
제주,2021-10,32.1
서귀포,2021-10,33.4
제주,2021-11,63.8
서귀포,2021-11,55.0
제주,2021-12,31.4
서귀포,2021-12,14.5
