카테고리중분류명,카테고리소분류명,유형별 검색건수,유형별 검색건수 비율
자연관광,자연생태,185045,0.2
자연관광,자연공원,723408,0.7
자연관광,자연경관(하천/해양),4057668,4.0
자연관광,자연경관(산),913497,0.9
역사관광,종교성지,1212664,1.2
역사관광,역사유적지,1196899,1.2
역사관광,역사유물,29513,0.0
체험관광,공예체험,7366,0.0
체험관광,농/산/어촌체험,165587,0.2
체험관광,웰니스관광,256936,0.3
문화관광,공연시설,2363182,2.3
문화관광,테마공원,1771693,1.8
문화관광,전시시설,2147760,2.1
문화관광,복합관광시설,611847,0.6
문화관광,레저스포츠시설,611604,0.6
문화관광,랜드마크관광,546650,0.5
문화관광,도시공원,2312812,2.3
문화관광,기타문화관광지,635975,0.6
문화관광,도시/지역문화관광,2578,0.0
레저스포츠,항공레저스포츠,8386,0.0
레저스포츠,기타레저스포츠,183937,0.2
레저스포츠,수상레저스포츠,656702,0.7
레저스포츠,육상레저스포츠,4266275,4.2
쇼핑,면세점,32608,0.0
쇼핑,전문매장/상가,722,0.0
쇼핑,기타쇼핑시설,24482,0.0
쇼핑,대형마트,7250717,7.2
쇼핑,시장,3679802,3.7
쇼핑,쇼핑몰,1054748,1.0
쇼핑,백화점,3736499,3.7
음식,외국식,3192836,3.2
음식,음식점기타,350458,0.3
음식,전문음식,7426879,7.4
음식,한식,17280709,17.2
음식,카페/찻집,9310617,9.2
음식,간이음식,4947580,4.9
숙박,호텔,4892563,4.9
숙박,호스텔,137838,0.1
숙박,모텔,2411599,2.4
숙박,펜션/민박,2703931,2.7
숙박,콘도미니엄,2352902,2.3
숙박,캠핑,1210868,1.2
숙박,기타숙박,117559,0.1
기타관광,교통시설,1941627,1.9
기타관광,기타관광,1655959,1.6
기타관광,데이트코스,122016,0.1
